x,left,right,divide
-50,0,0,
-49,0,0,
-48,0,0,
-47,0,0,
-46,0,0,
-45,0,0,
-44,0,0,
-43,0,0,
-42,0,0,
-41,0,0,
-40,0,0,
-39,0,0,
-38,0,0,
-37,0,0,
-36,0,0,
-35,0,0,
-34,0,0,
-33,0,0,
-32,0,0,
-31,0,0,
-30,0,0,
-29,0,0,
-28,0,0,
-27,0,0,
-26,0,0,
-25,0,0,
-24,0,0,
-23,0,3,1.0
-22,3,719,0.9958448753462604
-21,719,144690,0.9950553266991726
-20,144690,142943,0.49696314400642483
-19,142943,143261,0.5005555477910861
-18,143261,143365,0.5001814210853167
-17,143365,143808,0.5007713120662458
-16,143808,143510,0.49948141084094977
-15,143510,143997,0.5008469359006911
-14,143997,143831,0.49971163333657603
-13,143831,143418,0.4992811115095266
-12,143419,143600,0.5003153101362627
-11,143601,143854,0.5004400688803465
-10,143855,143370,0.4991557141613717
-9,143371,143739,0.5006408693532096
-8,143740,143292,0.4992195992084506
-7,143293,144199,0.5015756960193675
-6,144200,144282,0.5001421232520573
-5,144283,144543,0.5004500979828685
-4,144544,144633,0.5001538849908533
-3,144634,143722,0.4984186214262925
-2,143723,143921,0.5003441754390844
-1,143922,144164,0.5004200134682004
0,144165,144057,0.4998126444199263
1,144058,141074,0.49476733583042243
2,141074,138393,0.49520336927079045
3,138393,134090,0.4921040945673675
4,134090,129412,0.4911234070329637
5,129412,125003,0.4913350234852505
6,125003,119808,0.4893897741523052
7,119808,114576,0.4888388285889822
8,114576,109336,0.48829897459716315
9,109336,101825,0.48221499235180737
10,101825,96438,0.4864145100195195
11,96438,89008,0.47996721417555516
12,89008,82964,0.4824273718977508
13,82964,74260,0.4723197476212283
14,74260,67734,0.4770201557812302
15,67734,59039,0.46570642013677993
16,59039,53329,0.47459241065071905
17,53329,44110,0.45269348002339926
18,44110,38548,0.46635534370538845
19,38548,29744,0.43554149827212557
20,29744,24873,0.4554076569566252
21,24873,18041,0.42039893740970313
22,18041,14585,0.4470361061729909
23,14585,9724,0.40001645481097536
24,9724,7402,0.43220833819922927
25,7402,4351,0.3702033523355739
26,4351,3220,0.4253070928543125
27,3220,1746,0.35159081755940397
28,1746,1245,0.41624874623871616
29,1245,573,0.31518151815181517
30,573,355,0.38254310344827586
31,355,132,0.27104722792607805
32,132,95,0.4185022026431718
33,95,25,0.20833333333333334
34,25,12,0.32432432432432434
35,12,1,0.07692307692307693
36,1,1,0.5
37,1,0,0.0
38,0,0,
39,0,0,
40,0,0,
41,0,0,
42,0,0,
43,0,0,
44,0,0,
45,0,0,
46,0,0,
47,0,0,
48,0,0,
49,0,0,
50,0,0,
