d,τ,µ,
0,20,-0.00227504,-0.00227504
2,20,-0.214473,-0.214473
4,20,-0.462942,-0.462942
6,20,-0.689019,-0.689019
8,20,-0.872789,-0.872789
10,20,-1.01641,-1.01641
12,20,-1.13584,-1.13584
14,20,-1.22087,-1.22087
16,20,-1.29274,-1.29274
18,20,-1.3569,-1.3569
20,20,-1.40088,-1.40088
22,20,-1.44894,-1.44894
24,20,-1.48272,-1.48272
26,20,-1.49809,-1.49809
28,20,-1.51864,-1.51864
30,20,-1.55223,-1.55223
32,20,-1.57749,-1.57749
34,20,-1.55235,-1.55235
36,20,-1.59106,-1.59106
38,20,-1.49865,-1.49865
40,20,-1.42402,-1.42402
42,20,-1.31496,-1.31496
44,20,-0.982405,-0.982405
46,20,-0.628099,-0.628099
47,20,-0.415452,-0.415452
48,20,-0.314137,-0.314137
49,20,-0.0326985,-0.0326985
50,20,0.0566087,0.0566087
52,20,0.0537236,0.0537236
54,20,0.0371631,0.0371631
56,20,0.0648534,0.0648534
58,20,-0.0360224,-0.0360224
60,20,0.0417701,0.0417701
62,20,0.060002,0.060002
64,20,-0.0341211,-0.0341211
66,20,-0.0415666,-0.0415666
68,20,-0.0508501,-0.0508501
70,20,0.0397432,0.0397432
