d,τ,omega,µ
2,1,0,-0.00262316
2,1,0.02,0.000194508
2,1,0.04,-0.00128732
2,1,0.06,-0.00127047
2,1,0.08,-0.00400483
2,1,0.1,-0.00234408
2,1,0.12,-0.00162963
2,1,0.14,-0.00087228
2,1,0.16,-0.000221087
2,1,0.18,0.000321143
2,1,0.2,-0.00155679
2,1,0.22,-0.00233323
2,1,0.24,-0.0017676
2,1,0.26,-0.00288355
2,1,0.28,-0.00425222
2,1,0.3,-0.00705969
2,1,0.32,-0.00840849
2,1,0.34,-0.00998822
2,1,0.36,-0.0117379
2,1,0.38,-0.0134396
2,1,0.4,-0.0145845
2,1,0.42,-0.0166116
2,1,0.44,-0.0189577
2,1,0.46,-0.0202234
2,1,0.48,-0.0228913
2,1,0.5,-0.0241024
2,1,0.52,-0.0266373
2,1,0.54,-0.028559
2,1,0.56,-0.0303058
2,1,0.58,-0.0322497
2,1,0.6,-0.0336565
2,1,0.62,-0.0358916
2,1,0.64,-0.0372585
2,1,0.66,-0.0393095
2,1,0.68,-0.0410373
2,1,0.7,-0.0422967
2,1,0.72,-0.0442037
2,1,0.74,-0.0459359
2,1,0.76,-0.0474603
2,1,0.78,-0.0489782
2,1,0.8,-0.0505551
2,1,0.82,-0.0524155
2,1,0.84,-0.0539316
2,1,0.86,-0.0552451
2,1,0.88,-0.057048
2,1,0.9,-0.0582966
2,1,0.92,-0.0596948
2,1,0.94,-0.0610568
2,1,0.96,-0.0624188
2,1,0.98,-0.0640755
2,1,1,-0.065283
